state,county,age_adjusted_rate_per_100_000,state_abbrv
Texas,Jackson,412.9,TX
Washington,Grant,412.8,WA
Virginia,Nelson,412.7,VA
Arkansas,Newton,412.7,AR
Utah,Wayne,412.6,UT
Texas,Fayette,412.6,TX
Oklahoma,Cleveland,412.5,OK
Oregon,Linn,412.5,OR
Utah,Morgan,412.3,UT
Arkansas,Prairie,412.2,AR
Hawaii,Hawaii,412.1,HI
Virginia,Carroll,412.0,VA
Mississippi,George,412.0,MS
Washington,Benton,412.0,WA
Arkansas,Marion,411.9,AR
Texas,Maverick,411.5,TX
North Dakota,Wells,411.5,ND
Idaho,Franklin,411.4,ID
Alabama,Lauderdale,411.4,AL
South Carolina,Lee,411.4,SC
Colorado,Weld,411.3,CO
New York,Essex,411.2,NY
Virginia,Pulaski,410.9,VA
Kentucky,Union,410.8,KY
Montana,Fergus,410.7,MT
Massachusetts,Franklin,410.7,MA
Michigan,Otsego,410.7,MI
Georgia,Quitman,410.6,GA
Virginia,York,410.5,VA
Idaho,Boise,410.5,ID
South Carolina,Fairfield,410.3,SC
Pennsylvania,Wayne,410.3,PA
Nebraska,Cherry,410.1,NE
Alabama,Blount,410.1,AL
Georgia,Telfair,410.0,GA
Georgia,Jeff Davis,409.6,GA
California,Contra Costa,409.6,CA
Michigan,Kent,409.3,MI
Wyoming,Teton,409.3,WY
Texas,Comal,409.2,TX
Idaho,Cassia,409.2,ID
Texas,Irion,409.2,TX
Texas,Refugio,409.0,TX
Virginia,Highland,408.8,VA
Wisconsin,Taylor,408.7,WI
Minnesota,Cook,408.6,MN
Colorado,Lincoln,408.5,CO
Florida,Glades,408.4,FL
Texas,Collin,408.2,TX
Nebraska,Colfax,408.2,NE
Texas,Medina,408.2,TX
Texas,Bexar,408.2,TX
South Carolina,Richland,408.1,SC
Virginia,Henry,407.8,VA
California,Orange,407.8,CA
Hawaii,Honolulu,407.8,HI
Texas,Guadalupe,407.7,TX
Michigan,Ionia,407.6,MI
Arkansas,Nevada,407.5,AR
Missouri,Hickory,407.4,MO
Arkansas,Perry,407.4,AR
Utah,Sevier,407.3,UT
Wisconsin,Buffalo,407.3,WI
Utah,Wasatch,407.2,UT
Wyoming,Converse,407.2,WY
Montana,Sheridan,407.1,MT
Mississippi,Lafayette,407.1,MS
Georgia,Charlton,407.0,GA
South Carolina,Lancaster,407.0,SC
California,Sacramento,406.9,CA
Massachusetts,Hampshire,406.8,MA
Arizona,Yavapai,406.8,AZ
Texas,Brazos,406.8,TX
Virginia,Warren,406.7,VA
Alabama,Cullman,406.7,AL
Alabama,Geneva,406.7,AL
Missouri,Adair,406.6,MO
Arkansas,Little River,406.5,AR
Texas,Childress,406.4,TX
Arizona,La Paz,406.4,AZ
Utah,Box Elder,406.4,UT
Missouri,Nodaway,406.3,MO
Texas,La Salle,406.3,TX
New Mexico,Sandoval,406.3,NM
Georgia,Atkinson,406.2,GA
Michigan,Cheboygan,406.1,MI
Michigan,Barry,406.0,MI
Missouri,Bates,405.7,MO
Massachusetts,Suffolk,405.5,MA
Alabama,Madison,405.5,AL
Iowa,Buena Vista,405.4,IA
Utah,Salt Lake,405.3,UT
Oklahoma,Jackson,405.3,OK
Idaho,Lincoln,405.2,ID
